iter	Passed	Remaining
848	12356	31306
849	12370	31291
850	12385	31275
851	12399	31260
852	12412	31242
853	12426	31225
854	12439	31207
855	12453	31191
856	12466	31173
857	12480	31157
858	12493	31139
859	12506	31122
860	12520	31103
861	12533	31087
862	12547	31069
863	12560	31051
864	12573	31034
865	12586	31016
866	12600	30999
867	12613	30980
868	12626	30963
869	12639	30945
870	12653	30928
871	12666	30910
872	12680	30893
873	12693	30876
874	12706	30859
875	12720	30842
876	12734	30827
877	12748	30811
878	12762	30794
879	12775	30777
880	12789	30761
881	12803	30744
882	12816	30728
883	12829	30710
884	12843	30693
885	12856	30676
886	12870	30659
887	12884	30643
888	12897	30625
889	12910	30608
890	12924	30592
891	12938	30577
892	12952	30560
893	12966	30545
894	12980	30528
895	12995	30515
896	13008	30499
897	13023	30483
898	13036	30466
899	13050	30450
900	13063	30433
901	13077	30417
902	13091	30402
903	13105	30385
904	13119	30370
905	13133	30354
906	13146	30337
907	13160	30320
908	13174	30305
909	13188	30290
910	13202	30274
911	13216	30258
912	13230	30242
913	13244	30226
914	13258	30211
915	13273	30198
916	13288	30186
917	13303	30171
918	13316	30154
919	13330	30137
920	13343	30120
921	13357	30103
922	13370	30087
923	13385	30073
924	13399	30057
925	13414	30045
926	13429	30031
927	13443	30015
